plot_row,plot_column,plant_id,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,accession_photoperiod,accession_type,accession_origin,accession_race,plot_id,Notes,x_of_y,plot_plan_tag,plot_plan_con,plot_plan_barcode,plot_plan_end
5 && 6 && 7 && 8,1,PI_534120,72,68,82,0.35,0.30,0.23,31,34,24,0.20598,0.057638,0.044343,0.23164,0.28323,,5.243,,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,,SF-BE-r1-p0001 && SF-BE-r1-p0002 && SF-BE-r1-p0003 && SF-BE-r1-p0004,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0001 && BMS.SF-BE-r1-p0003 && PAN.SF-BE-r1-p0003 && LEF.SF-BE-r1-p0003,ANTHESIS && MATURITY
5 && 6 && 7 && 8,2,PI_365512,75,73,70,0.15,0.10,0.05,16,17,16,0.4983,0.061963,0.060571,0.34256,0.50215,,3.5782,,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,Caudatum,SF-BE-r1-p0049 && SF-BE-r1-p0050 && SF-BE-r1-p0051 && SF-BE-r1-p0052,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0049 && BMS.SF-BE-r1-p0051 && PAN.SF-BE-r1-p0051 && LEF.SF-BE-r1-p0051,ANTHESIS && MATURITY
5 && 6 && 7 && 8,3,PI_535783,134,125,130,0.45,0.41,0.37,15,16,14,0.45008,0.045175,0.068853,0.18817,0.57839,,33.5356,,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p0097 && SF-BE-r1-p0098 && SF-BE-r1-p0099 && SF-BE-r1-p0100,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0097 && BMS.SF-BE-r1-p0099 && PAN.SF-BE-r1-p0099 && LEF.SF-BE-r1-p0099,ANTHESIS && MATURITY
5 && 6 && 7 && 8,4,PI_564163,105,102,103,0.20,0.10,0.10,29,27,29,0.61987,0.048202,0.086981,0.33212,0.42855,,41.6864,,PHOTOPERIOD_INSENSITIVE,GRAIN,United States,,SF-BE-r1-p0145 && SF-BE-r1-p0146 && SF-BE-r1-p0147 && SF-BE-r1-p0148,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0145 && BMS.SF-BE-r1-p0147 && PAN.SF-BE-r1-p0147 && LEF.SF-BE-r1-p0147,ANTHESIS && MATURITY
5 && 6 && 7 && 8,5,PI_533902,85,98,99,0.72,0.59,0.42,32,34,35,0.68466,0.074037,0.066721,0.13951,0.23745,,11.8802,,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,,SF-BE-r1-p0193 && SF-BE-r1-p0194 && SF-BE-r1-p0195 && SF-BE-r1-p0196,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0193 && BMS.SF-BE-r1-p0195 && PAN.SF-BE-r1-p0195 && LEF.SF-BE-r1-p0195,ANTHESIS && MATURITY
5 && 6 && 7 && 8,6,PI_181083,,,,,,,,,,0.036834,0.07958,0.069508,0.31217,0.78497,,9.7878,,PHOTOPERIOD_INSENSITIVE,Cellulosic,India,Durra-bicolor,SF-BE-r1-p0241 && SF-BE-r1-p0242 && SF-BE-r1-p0243 && SF-BE-r1-p0244,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0241 && BMS.SF-BE-r1-p0243 && PAN.SF-BE-r1-p0243 && LEF.SF-BE-r1-p0243,ANTHESIS && MATURITY
5 && 6 && 7 && 8,7,PI_656065,147,142,152,0.39,0.30,0.27,16,20,20,0.32332,0.069261,0.066281,0.2008,0.26721,,4.8346,,PHOTOPERIOD_INSENSITIVE,Cellulosic,,,SF-BE-r1-p0289 && SF-BE-r1-p0290 && SF-BE-r1-p0291 && SF-BE-r1-p0292,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0289 && BMS.SF-BE-r1-p0291 && PAN.SF-BE-r1-p0291 && LEF.SF-BE-r1-p0291,ANTHESIS && MATURITY
5 && 6 && 7 && 8,8,PI_526905,110,106,100,0.64,0.52,0.47,17,19,20,0.2772,0.062888,0.076513,0.10363,0.43919,,21.6676,,PHOTOPERIOD_INSENSITIVE,GRAIN,Zimbabwe,Caudatum,SF-BE-r1-p0337 && SF-BE-r1-p0338 && SF-BE-r1-p0339 && SF-BE-r1-p0340,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0337 && BMS.SF-BE-r1-p0339 && PAN.SF-BE-r1-p0339 && LEF.SF-BE-r1-p0339,ANTHESIS && MATURITY
5 && 6 && 7 && 8,9,PI_535793,109,118,118,0.23,0.19,0.17,24,18,17,0.56091,0.043126,0.074749,0.22121,0.37948,,2.6936,,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p0385 && SF-BE-r1-p0386 && SF-BE-r1-p0387 && SF-BE-r1-p0388,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0385 && BMS.SF-BE-r1-p0387 && PAN.SF-BE-r1-p0387 && LEF.SF-BE-r1-p0387,ANTHESIS && MATURITY
5 && 6 && 7 && 8,10,PI_593916,,,,,,,,,,0.53066,0.054052,0.069687,0.35114,0.59526,,21.8043,,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p0433 && SF-BE-r1-p0434 && SF-BE-r1-p0435 && SF-BE-r1-p0436,Looked like mixed plot,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0433 && BMS.SF-BE-r1-p0435 && PAN.SF-BE-r1-p0435 && LEF.SF-BE-r1-p0435,ANTHESIS && MATURITY
